representation,compartment,bootstrap_id,ari,nmi,nn_accuracy,silhouette
stack,all,25,0.07142857142857142,0.3930065516315366,0.0,0.04468807205557823
stack,all,26,0.26666666666666666,0.5239645650766062,0.2222222222222222,0.03291882574558258
stack,all,27,0.07142857142857142,0.3930065516315366,0.3333333333333333,0.038715604692697525
stack,all,28,0.26666666666666666,0.5239645650766062,0.2222222222222222,0.02864767052233219
stack,all,29,0.07142857142857142,0.3930065516315366,0.3333333333333333,0.034573327749967575
stack,all,30,0.07142857142857142,0.3930065516315367,0.2222222222222222,0.04260753467679024
stack,all,31,0.26666666666666666,0.5451600159416436,0.2222222222222222,0.03548763319849968
stack,all,32,0.07142857142857142,0.3930065516315367,0.2222222222222222,0.028992870822548866
stack,all,33,0.26666666666666666,0.5239645650766063,0.1111111111111111,0.05647255480289459
stack,all,34,0.07142857142857142,0.3930065516315366,0.1111111111111111,0.0371018685400486
stack,all,35,0.26666666666666666,0.5239645650766062,0.0,0.049997858703136444
stack,all,36,0.07142857142857142,0.3930065516315367,0.2222222222222222,0.03766152262687683
stack,all,37,0.07142857142857142,0.3930065516315366,0.1111111111111111,0.017381353303790092
stack,all,38,0.07142857142857142,0.3930065516315366,0.2222222222222222,0.03266720473766327
stack,all,39,0.07142857142857142,0.3930065516315366,0.2222222222222222,0.05348117649555206
stack,all,40,0.07142857142857142,0.3930065516315366,0.3333333333333333,0.03706467151641846
stack,all,41,0.26666666666666666,0.5239645650766062,0.2222222222222222,0.03115375153720379
stack,all,42,0.07142857142857142,0.3930065516315366,0.2222222222222222,0.03494785726070404
stack,all,43,0.07142857142857142,0.3930065516315367,0.3333333333333333,0.036563973873853683
stack,all,44,0.07142857142857142,0.3930065516315366,0.3333333333333333,0.02229403145611286
stack,all,45,0.07142857142857142,0.3930065516315367,0.2222222222222222,0.03662717714905739
stack,all,46,0.07142857142857142,0.3930065516315367,0.3333333333333333,0.03912222385406494
stack,all,47,0.07142857142857142,0.3930065516315366,0.3333333333333333,0.05653712525963783
stack,all,48,0.26666666666666666,0.5239645650766063,0.1111111111111111,0.03343735635280609
stack,all,49,0.26666666666666666,0.5239645650766062,0.2222222222222222,0.04026465490460396
stack,all,50,0.07142857142857142,0.3930065516315367,0.1111111111111111,0.03807695209980011
stack,all,51,0.07142857142857142,0.3930065516315367,0.2222222222222222,0.03041023761034012
stack,all,52,0.07142857142857142,0.3930065516315366,0.3333333333333333,0.025617161765694618
stack,all,53,0.26666666666666666,0.5239645650766062,0.2222222222222222,0.05186070129275322
stack,all,54,0.07142857142857142,0.3930065516315366,0.1111111111111111,0.041625671088695526
stack,all,55,0.07142857142857142,0.3930065516315367,0.2222222222222222,0.023045234382152557
stack,all,56,0.07142857142857142,0.3930065516315367,0.2222222222222222,0.03215498849749565
stack,all,57,0.07142857142857142,0.3930065516315366,0.3333333333333333,0.04165511205792427
stack,all,58,0.07142857142857142,0.3930065516315366,0.3333333333333333,0.022391704842448235
stack,all,59,0.07142857142857142,0.3930065516315366,0.3333333333333333,0.03470737487077713
stack,all,60,0.07142857142857142,0.3930065516315367,0.3333333333333333,0.03286200016736984
stack,all,61,0.07142857142857142,0.3930065516315367,0.2222222222222222,0.0362955778837204
stack,all,62,0.07142857142857142,0.3930065516315366,0.2222222222222222,0.021499620750546455
stack,all,63,0.07142857142857142,0.3930065516315367,0.2222222222222222,0.05188451334834099
stack,all,64,0.26666666666666666,0.5239645650766062,0.2222222222222222,0.03243435546755791
stack,all,65,0.07142857142857142,0.3930065516315367,0.2222222222222222,0.041508764028549194
stack,all,66,0.07142857142857142,0.3930065516315366,0.3333333333333333,0.03861887753009796
stack,all,67,0.07142857142857142,0.3930065516315367,0.3333333333333333,0.03004244901239872
stack,all,68,0.07142857142857142,0.3930065516315366,0.3333333333333333,0.04329901933670044
stack,all,69,0.07142857142857142,0.3930065516315366,0.3333333333333333,0.02933584339916706
stack,all,70,0.07142857142857142,0.3930065516315366,0.3333333333333333,0.026332447305321693
stack,all,71,0.07142857142857142,0.3930065516315366,0.1111111111111111,0.03257043659687042
stack,all,72,0.07142857142857142,0.3930065516315366,0.2222222222222222,0.04702698811888695
stack,all,73,0.26666666666666666,0.5239645650766063,0.0,0.03615744411945343
stack,all,74,0.07142857142857142,0.3930065516315367,0.3333333333333333,0.03212158381938934
stack,all,75,0.07142857142857142,0.3930065516315367,0.3333333333333333,0.039951931685209274
stack,all,76,0.07142857142857142,0.3930065516315367,0.2222222222222222,0.031661491841077805
stack,all,77,0.07142857142857142,0.3930065516315367,0.3333333333333333,0.03452020883560181
stack,all,78,0.07142857142857142,0.3930065516315367,0.2222222222222222,0.016957707703113556
stack,all,79,0.26666666666666666,0.5239645650766062,0.2222222222222222,0.03965868800878525
stack,all,80,0.07142857142857142,0.3930065516315366,0.3333333333333333,0.04937053844332695
stack,all,81,0.26666666666666666,0.5239645650766062,0.2222222222222222,0.030486200004816055
stack,all,82,0.07142857142857142,0.3930065516315366,0.3333333333333333,0.04495753347873688
stack,all,83,0.07142857142857142,0.3930065516315367,0.3333333333333333,0.0497610904276371
stack,all,84,0.26666666666666666,0.5239645650766063,0.3333333333333333,0.045915380120277405
stack,all,85,0.26666666666666666,0.5239645650766062,0.4444444444444444,0.031009074300527573
stack,all,86,0.07142857142857142,0.3930065516315366,0.2222222222222222,0.029615342617034912
stack,all,87,0.07142857142857142,0.3930065516315367,0.3333333333333333,0.02548905462026596
stack,all,88,0.07142857142857142,0.3930065516315367,0.3333333333333333,0.041069142520427704
stack,all,89,0.07142857142857142,0.3930065516315366,0.2222222222222222,0.035960420966148376
stack,all,90,0.07142857142857142,0.3930065516315367,0.2222222222222222,0.02754739671945572
stack,all,91,0.07142857142857142,0.3930065516315366,0.2222222222222222,0.03989751636981964
stack,all,92,0.07142857142857142,0.3930065516315366,0.1111111111111111,0.03864748775959015
stack,all,93,0.07142857142857142,0.3930065516315366,0.3333333333333333,0.03160153329372406
stack,all,94,0.07142857142857142,0.3930065516315367,0.2222222222222222,0.02799036353826523
stack,all,95,0.07142857142857142,0.3930065516315367,0.2222222222222222,0.044291965663433075
stack,all,96,0.07142857142857142,0.3930065516315366,0.3333333333333333,0.022931745275855064
stack,all,97,0.26666666666666666,0.5239645650766063,0.0,0.03467632085084915
stack,all,98,0.26666666666666666,0.5239645650766063,0.1111111111111111,0.05412833020091057
stack,all,99,0.26666666666666666,0.5239645650766063,0.2222222222222222,0.0445263609290123
stack,all,100,0.26666666666666666,0.5239645650766063,0.3333333333333333,0.03434789553284645
stack,all,101,0.07142857142857142,0.3930065516315366,0.3333333333333333,0.02872457168996334
